City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Hithadhoo,MV,83.03,broken clouds,-0.6,73.0833,Scoop Guest House
1,Mogadishu,SO,81.68,broken clouds,2.0371,45.3438,Hotel Juba
4,Natal,BR,79.45,moderate rain,-5.795,-35.2094,Villa Park Hotel | Natal
7,Bambous Virieux,MU,80.22,broken clouds,-20.3428,57.7575,Casa Tia Villa
10,Pimenta Bueno,BR,84.99,few clouds,-11.6725,-61.1936,Cristalina Palace Hotel
14,Hilo,US,78.53,heavy intensity rain,19.7297,-155.09,Hilo Hawaiian Hotel
15,Rikitea,PF,76.71,broken clouds,-23.1203,-134.9692,People ThankYou
25,Bartlesville,US,77.02,few clouds,36.7473,-95.9808,Hilton Garden Inn Bartlesville
27,Tucano,BR,86.88,overcast clouds,-10.9631,-38.7867,Pousada Pé De Arruda
28,Riyadh,SA,80.74,overcast clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
29,Atuona,PF,79.95,broken clouds,-9.8,-139.0333,Villa Enata
30,Mar Del Plata,AR,75.22,scattered clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
32,Avarua,CK,77.05,few clouds,-21.2078,-159.775,Paradise Inn
35,Tubmanburg,LR,76.62,light rain,6.8708,-10.8172,LITTLE WAY GUEST HOUSE
37,Valparaiso,CL,77.23,clear sky,-33.0393,-71.6273,Hotel Ultramar
42,Mount Pleasant,US,78.01,clear sky,32.7941,-79.8626,Best Western Patriots Point
45,Kanigiri,IN,78.3,clear sky,15.4,79.5167,COMFORT INN
47,Tucuman,AR,78.8,clear sky,-26.8241,-65.2226,Dallas Hotel Tucuman
56,Manjeshwar,IN,79.75,overcast clouds,12.7194,74.8861,Mangalore Beach House - EWA Ikigai
57,Carnarvon,AU,77.07,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
61,Witu,KE,84.36,broken clouds,-2.3889,40.4382,
65,Phan Thiet,VN,76.53,overcast clouds,10.9333,108.1,Hotel Saigon-PT
71,Kokopo,PG,77.16,broken clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
73,Butaritari,KI,81.46,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
78,Labuhan,ID,75.49,overcast clouds,-6.8844,112.2051,DoubleFAG
79,Puerto Ayora,EC,85.96,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
82,Batangafo,CF,80.56,overcast clouds,7.3008,18.2833,OCHA Office
85,Arraial Do Cabo,BR,82.36,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
86,Inhambane,MZ,76.98,few clouds,-23.865,35.3833,Oceano
89,Faanui,PF,81.82,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
91,Bathsheba,BB,84.81,few clouds,13.2167,-59.5167,Atlantis Hotel
94,Mabaruma,GY,82.17,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
103,Chake Chake,TZ,80.26,broken clouds,-5.2459,39.7666,Hotel Archipelago
105,Bairiki,KI,80.6,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
106,Bowen,AU,77.97,scattered clouds,-20.0167,148.2333,Castle Motor Lodge Motel
107,Elat,IL,80.44,clear sky,29.5581,34.9482,Club Hotel Eilat
108,San Ramon,US,79.02,clear sky,37.7799,-121.978,San Ramon Marriott
122,Cuiaba,BR,89.53,few clouds,-15.5961,-56.0967,Getúllio Hotel
123,Georgetown,MY,78.73,few clouds,5.4112,100.3354,Cititel Penang
125,Tamiahua,MX,83.01,overcast clouds,21.2667,-97.45,Mission Of The Sun Hotel
130,Oum Hadjer,TD,91.18,broken clouds,13.2954,19.6966,
133,The Valley,AI,84.06,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
137,Bacolod,PH,78.15,overcast clouds,10.6667,122.95,Planta Hotel & Residences
138,Lahore,PK,80.58,haze,31.5497,74.3436,The Residency Hotel
139,Marsh Harbour,BS,78.13,broken clouds,26.5412,-77.0636,Abaco Beach Resort
141,Kapaa,US,77.18,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
145,Port Blair,IN,82.44,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
161,Linhares,BR,80.28,few clouds,-19.3911,-40.0722,Hotel Conceição
163,Omboue,GA,78.1,broken clouds,-1.5746,9.2618,Hotel Olako
164,Dharampur,IN,77.31,clear sky,20.5333,73.1833,Motel 11
167,Vao,NC,79.11,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
168,Laguna,US,78.78,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
178,Poum,NC,81.99,overcast clouds,-20.2333,164.0167,
181,Dire Dawa,ET,75.78,overcast clouds,9.5931,41.8661,Samrat Hotel
182,Labuan,MY,79.16,few clouds,5.2767,115.2417,Tiara Labuan Hotel
192,Quatre Cocos,MU,80.1,few clouds,-20.2078,57.7625,Sunrise Attitude Hotel
194,Acarau,BR,79.95,moderate rain,-2.8856,-40.12,castelo pizzaria
205,Tarakan,ID,78.84,overcast clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
208,Luanda,AO,80.6,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
211,Ajdabiya,LY,78.64,clear sky,30.7554,20.2263,Almadina Hotel
212,Namatanai,PG,78.37,light rain,-3.6667,152.4333,Seagulls Inn Namatani
221,Kahului,US,78.96,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
222,Miranda,CO,84.65,light rain,3.2499,-76.2281,unidiversidad organica la utopia
225,Santa Rosa,PH,80.02,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
228,Cabo San Lucas,MX,77.61,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
234,Cockburn Town,TC,82.36,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
235,Avera,US,75.54,clear sky,33.194,-82.5271,
236,Salalah,OM,78.44,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
238,Karratha,AU,80.78,clear sky,-20.7377,116.8463,ibis Styles Karratha
239,Atar,MR,77.85,clear sky,20.5169,-13.0499,Oumou Elghoura
244,Morant Bay,JM,87.71,clear sky,17.8815,-76.4093,Whispering Bamboo Cove Resort
246,Baherden,TM,78.35,clear sky,38.4362,57.4316,
247,Ilheus,BR,85.82,few clouds,-14.7889,-39.0494,Barravento Hotel
252,Jalingo,NG,87.93,overcast clouds,8.8833,11.3667,Debright Motel
253,Axim,GH,81.97,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
255,Nkayi,CG,76.41,broken clouds,-4.1841,13.2884,Résidence privée du Maire NKAYI
