City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hithadhoo,MV,-0.6,73.0833,83.03,69,53,4.81,broken clouds
1,Mogadishu,SO,2.0371,45.3438,81.68,78,60,14.0,broken clouds
2,Vila Franca Do Campo,PT,37.7167,-25.4333,61.21,75,13,14.45,few clouds
3,Mount Gambier,AU,-37.8333,140.7667,46.31,100,38,5.75,mist
4,Natal,BR,-5.795,-35.2094,79.45,100,75,11.5,moderate rain
5,Hofn,IS,64.2539,-15.2082,38.17,84,100,16.91,overcast clouds
6,Vaini,TO,-21.2,-175.2,73.56,100,100,5.75,light intensity shower rain
7,Bambous Virieux,MU,-20.3428,57.7575,80.22,83,75,11.5,broken clouds
8,Tuatapere,NZ,-46.1333,167.6833,46.99,92,87,3.44,overcast clouds
9,Chuy,UY,-33.6971,-53.4616,71.62,68,92,10.69,light rain
10,Pimenta Bueno,BR,-11.6725,-61.1936,84.99,71,24,3.51,few clouds
11,Castro,BR,-24.7911,-50.0119,71.73,80,69,4.59,broken clouds
12,Khuzdar,PK,27.7384,66.6434,69.94,8,27,4.59,scattered clouds
13,Rio Rancho,US,35.2334,-106.6645,74.37,17,0,8.05,clear sky
14,Hilo,US,19.7297,-155.09,78.53,76,100,6.91,heavy intensity rain
15,Rikitea,PF,-23.1203,-134.9692,76.71,66,56,10.27,broken clouds
16,Bansko,BG,41.8383,23.4885,32.29,92,85,2.48,light snow
17,Jamestown,US,42.097,-79.2353,33.71,68,100,9.22,snow
18,Eskilstuna,SE,59.3666,16.5077,39.85,53,100,8.01,light rain
19,Punta Arenas,CL,-53.15,-70.9167,41.11,87,40,23.02,light intensity shower rain
20,Geraldton,AU,-28.7667,114.6,72.01,88,75,14.97,broken clouds
21,Pingliang,CN,35.5392,106.6861,50.47,59,100,3.6,overcast clouds
22,Castle Rock,US,39.3722,-104.8561,49.28,46,100,5.99,overcast clouds
23,Shelburne,CA,44.0787,-80.2041,39.13,83,100,13.85,overcast clouds
24,Ginda,IN,30.6945,78.4932,54.59,23,7,8.97,clear sky
25,Bartlesville,US,36.7473,-95.9808,77.02,45,20,14.97,few clouds
