City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Ushuaia,-54.8,-68.3,40.62,93,100,6.91,AR,2022-04-02 15:35:09
1,Albany,42.6001,-73.9662,42.94,48,4,3.0,US,2022-04-02 15:31:51
2,Airai,-8.9266,125.4092,57.76,87,16,1.9,TL,2022-04-02 15:35:35
3,Yellowknife,62.456,-114.3525,-8.72,82,75,4.61,CA,2022-04-02 15:35:35
4,Carnarvon,-24.8667,113.6333,77.07,88,4,5.75,AU,2022-04-02 15:25:39
5,Kavaratti,10.5669,72.642,83.5,70,40,7.7,IN,2022-04-02 15:29:23
6,Jamestown,42.097,-79.2353,40.01,53,40,3.44,US,2022-04-02 15:35:11
7,Kapaa,22.0752,-159.319,71.92,90,40,18.41,US,2022-04-02 15:35:14
8,Castro,-24.7911,-50.0119,64.4,82,100,8.86,BR,2022-04-02 15:35:36
9,Kalabo,-14.97,22.6814,75.97,62,94,3.83,ZM,2022-04-02 15:34:15
10,Bambous Virieux,-20.3428,57.7575,74.21,100,40,8.05,MU,2022-04-02 15:35:37
11,Rikitea,-23.1203,-134.9692,74.32,58,41,8.59,PF,2022-04-02 15:35:20
12,Kavieng,-2.5744,150.7967,76.55,88,100,3.91,PG,2022-04-02 15:35:07
13,Ambilobe,-13.2,49.05,74.97,92,8,1.5,MG,2022-04-02 15:35:38
14,Chokurdakh,70.6333,147.9167,-6.47,92,100,5.39,RU,2022-04-02 15:35:38
15,Aguadilla,18.4275,-67.1541,85.55,69,40,14.97,PR,2022-04-02 15:35:38
16,Hilo,19.7297,-155.09,69.53,88,75,4.0,US,2022-04-02 15:35:39
17,Tocopilla,-22.092,-70.1979,70.81,64,8,7.07,CL,2022-04-02 15:35:39
18,Bull Savanna,17.8868,-77.5902,83.28,59,7,15.9,JM,2022-04-02 15:35:40
19,Bac Lieu,9.285,105.7244,81.28,79,96,14.5,VN,2022-04-02 15:35:40
20,Phan Thiet,10.9333,108.1,77.88,83,96,5.35,VN,2022-04-02 15:35:40
21,Clyde River,70.4692,-68.5914,12.43,92,100,2.3,CA,2022-04-02 15:26:47
22,Sisimiut,66.9395,-53.6735,33.49,86,28,4.74,GL,2022-04-02 15:35:41
23,Hithadhoo,-0.6,73.0833,83.43,68,16,4.85,MV,2022-04-02 15:35:41
24,Veere,51.5483,3.6667,45.05,53,40,19.57,NL,2022-04-02 15:35:42
25,Kismayo,-0.3582,42.5454,81.19,76,87,14.25,SO,2022-04-02 15:35:42
26,Tabou,4.423,-7.3528,82.47,78,100,8.34,CI,2022-04-02 15:33:14
27,Vila Velha,-20.3297,-40.2925,87.75,71,40,10.36,BR,2022-04-02 15:32:08
28,Isla Mujeres,21.2311,-86.731,86.16,73,9,15.35,MX,2022-04-02 15:35:43
29,Lompoc,34.6391,-120.4579,56.93,85,100,10.0,US,2022-04-02 15:35:43
30,Saint-Philippe,-21.3585,55.7679,76.59,96,100,21.16,RE,2022-04-02 15:35:44
31,Maseru,-29.3167,27.4833,67.35,40,91,9.57,LS,2022-04-02 15:35:44
32,Ribeira Grande,38.5167,-28.7,61.2,67,20,11.5,PT,2022-04-02 15:35:45
33,Arraial Do Cabo,-22.9661,-42.0278,78.76,83,75,4.61,BR,2022-04-02 15:35:45
34,Sovetskiy,61.3614,63.5842,11.77,94,67,2.17,RU,2022-04-02 15:35:45
35,Birao,10.2849,22.7882,102.47,7,42,6.22,CF,2022-04-02 15:35:46
36,Kodiak,57.79,-152.4072,33.31,93,100,3.44,US,2022-04-02 15:35:46
37,Yaring,6.8662,101.3689,80.29,85,98,3.29,TH,2022-04-02 15:35:47
38,Kropotkin,45.4375,40.5756,61.02,60,90,10.78,RU,2022-04-02 15:35:47
39,Husavik,66.0449,-17.3389,37.8,95,100,3.27,IS,2022-04-02 15:35:47
40,Klaksvik,62.2266,-6.589,43.72,74,85,7.14,FO,2022-04-02 15:35:48
41,Valdivia,-39.8142,-73.2459,55.49,94,100,4.47,CL,2022-04-02 15:36:48
42,Mataura,-46.1927,168.8643,47.01,98,71,2.73,NZ,2022-04-02 15:35:14
43,Murdochville,48.9583,-65.5006,23.88,93,100,21.79,CA,2022-04-02 15:36:49
44,Kieta,-6.2167,155.6333,77.86,82,99,2.33,PG,2022-04-02 15:33:28
45,Dikson,73.5069,80.5464,-4.2,100,94,7.65,RU,2022-04-02 15:35:15
46,Cape Town,-33.9258,18.4232,73.11,57,20,23.02,ZA,2022-04-02 15:30:32
47,Koungou,-12.7336,45.2042,83.91,74,0,9.22,YT,2022-04-02 15:36:49
48,Campbell River,50.0163,-125.2446,42.46,100,75,3.44,CA,2022-04-02 15:36:50
49,Vaini,-21.2,-175.2,73.56,100,20,2.3,TO,2022-04-02 15:35:14
50,Marang,5.2056,103.2059,78.71,90,63,5.19,MY,2022-04-02 15:36:50
51,Tiksi,71.6872,128.8694,-5.22,100,99,2.26,RU,2022-04-02 15:36:51
52,Santa Isabel,-23.3156,-46.2214,73.11,81,88,6.8,BR,2022-04-02 15:36:51
53,Labuhan,-6.8844,112.2051,77.92,82,100,7.92,ID,2022-04-02 15:36:51
54,Puerto Ayora,-0.7393,-90.3518,84.16,91,31,5.01,EC,2022-04-02 15:36:52
55,Cidreira,-30.1811,-50.2056,72.0,67,4,13.13,BR,2022-04-02 15:36:52
56,Pontes E Lacerda,-15.2261,-59.3353,75.99,67,52,4.32,BR,2022-04-02 15:36:53
57,Hereford,52.0568,-2.7148,49.75,73,98,1.99,GB,2022-04-02 15:36:53
58,Qaanaaq,77.484,-69.3632,15.98,85,93,3.94,GL,2022-04-02 15:36:54
59,Dingle,10.9995,122.6711,76.35,80,55,5.97,PH,2022-04-02 15:36:54
60,Mar Del Plata,-38.0023,-57.5575,66.22,66,40,20.0,AR,2022-04-02 15:34:46
61,Barrow,71.2906,-156.7887,-12.98,77,0,13.8,US,2022-04-02 15:35:19
62,Kruisfontein,-34.0033,24.7314,62.89,80,75,8.7,ZA,2022-04-02 15:36:55
63,Remontnoye,46.5614,43.6501,71.31,37,98,14.09,RU,2022-04-02 15:36:55
64,Faya,18.3851,42.4509,75.31,23,0,2.35,SA,2022-04-02 15:35:16
65,Esperance,-33.8667,121.9,67.84,57,1,14.92,AU,2022-04-02 15:36:55
66,Oranjemund,-28.55,16.4333,63.81,77,5,12.57,NA,2022-04-02 15:26:57
67,Khatanga,71.9667,102.5,0.54,97,100,5.82,RU,2022-04-02 15:36:56
68,Tank,32.2217,70.3793,85.68,9,0,3.13,PK,2022-04-02 15:36:56
69,Luderitz,-26.6481,15.1594,67.48,65,0,24.16,NA,2022-04-02 15:36:57
70,Hami,42.8,93.45,56.57,11,42,6.87,CN,2022-04-02 15:36:57
71,Ponta Do Sol,32.6667,-17.1,65.12,80,77,7.96,PT,2022-04-02 15:36:58
72,Boa Vista,2.8197,-60.6733,93.18,38,20,9.22,BR,2022-04-02 15:36:58
73,Provideniya,64.3833,-173.3,8.13,67,1,10.69,RU,2022-04-02 15:36:58
74,Nikolskoye,59.7035,30.7861,33.8,88,56,6.33,RU,2022-04-02 15:36:59
75,Sharjah,25.3573,55.4033,80.89,69,0,10.36,AE,2022-04-02 15:36:59
76,Bengkulu,-3.8004,102.2655,78.06,79,94,4.76,ID,2022-04-02 15:36:59
77,Gorontalo,0.5412,123.0595,75.16,96,100,3.67,ID,2022-04-02 15:27:01
78,Mnogovershinnyy,53.9353,139.9242,17.67,92,100,4.83,RU,2022-04-02 15:37:00
79,Lagoa,39.05,-27.9833,58.68,67,5,11.88,PT,2022-04-02 15:37:00
80,East London,-33.0153,27.9116,63.54,100,100,8.05,ZA,2022-04-02 15:37:01
81,Narsaq,60.9167,-46.05,43.02,83,100,3.71,GL,2022-04-02 15:35:21
82,Thompson,55.7435,-97.8558,14.16,67,20,8.05,CA,2022-04-02 15:33:55
83,Bredasdorp,-34.5322,20.0403,63.72,68,86,16.15,ZA,2022-04-02 15:35:12
84,Channel-Port Aux Basques,47.5702,-59.1367,32.85,99,100,27.65,CA,2022-04-02 15:36:51
85,Katsuura,35.1333,140.3,51.26,64,100,12.21,JP,2022-04-02 15:38:02
86,Mercedes,-34.6515,-59.4307,69.64,35,0,14.65,AR,2022-04-02 15:34:01
87,Busselton,-33.65,115.3333,71.96,73,97,4.16,AU,2022-04-02 15:38:03
